Reaction,Name,Subsystem,Unconstrained_Flux,Constrained_Flux,Difference,Formula
ARGARGMETt,"Transport of ArgArgMet, Extracellular",,29.329247419270864,0.0,29.329247419270864,argargmet_e + h_e <=> argargmet_c + h_c
ARGARGMETr,Metabolism (Formation/Degradation) of ArgArgMet,,29.32924741927086,-4.552880087473328e-18,29.32924741927086,argargmet_c + 2.0 h2o_c <=> 2.0 arg__L_c + met__L_c
r0940,Free diffusion,,-19.25667164757397,0.0,19.25667164757397,HC00250_c <=> HC00250_e
r0210,"L-Serine hydro-lyase (adding homocysteine) Glycine, serine and threonine metabolism EC:4.2.1.22",,19.25667164757397,0.0,19.25667164757397,HC00250_c + h_c + ser__L_c --> cys__L_c + h2o_c
TPI,Triose-phosphate isomerase,,-15.006333936435597,1.0066666666666664,16.013000603102263,dhap_c <=> g3p_c
r0083,Oxalosuccinate:NADP+ oxidoreductase (decarboxylating) Citrate cycle (TCA cycle) EC:1.1.1.42,,0.0,15.652490704090194,15.652490704090194,HC01434_m + h_m --> akg_m + co2_m
r0425,EC:1.1.1.42,,0.0,15.652490704090193,15.652490704090193,icit_m + nad_m <=> HC01434_m + h_m + nadh_m
CSm,Citrate synthase,,0.0,15.652490704090193,15.652490704090193,accoa_m + h2o_m + oaa_m --> cit_m + coa_m + h_m
LDH_L,L-lactate dehydrogenase,,0.0,-15.542490704090206,15.542490704090206,lac__L_c + nad_c <=> h_c + nadh_c + pyr_c
L_LACtcm,L-lactate transport via diffusion (cytosol to mitochondria),,0.0,15.542490704090206,15.542490704090206,lac__L_c --> lac__L_m
LDH_Lm,"L-lactate dehydrogenase, mitochondria",,0.0,15.542490704090206,15.542490704090206,lac__L_m + nad_m <=> h_m + nadh_m + pyr_m
r0407,"Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase Carbon fixation EC:4.1.2.13",,-15.00633393643544,0.003333333333333331,15.009667269768773,HC00361_c <=> dhap_c + e4p_c
r0408,ATP:Sedoheptulose 7-phosphate 1-phosphotransferase EC:2.7.1.11,,-15.00633393643544,0.003333333333333331,15.009667269768773,atp_c + s7p_c <=> HC00361_c + adp_c + h_c
ME2,Malic enzyme (NADP),,0.0,13.480824037423547,13.480824037423547,mal__L_c + nadp_c --> co2_c + nadph_c + pyr_c
MMMm,Methylmalonyl-CoA mutase,,3.565954752636402e-14,13.470824037423546,13.47082403742351,mmcoa__R_m <=> succoa_m
PPCOACm,"Propionyl-CoA carboxylase, mitochondrial",,0.0,13.460824037423546,13.460824037423546,atp_m + hco3_m + ppcoa_m --> adp_m + h_m + mmcoa__S_m + pi_m
MMEm,Methylmalonyl-CoA epimerase/racemase,,0.0,-13.460824037423544,13.460824037423544,mmcoa__R_m <=> mmcoa__S_m
PPCOAtm,"Propanoyl-CoA transport, mitochondria",,0.0,13.450824037423546,13.450824037423546,ppcoa_c <=> ppcoa_m
r1292,Postulated transport reaction,,0.0,-13.430824037423546,13.430824037423546,ppcoa_c <=> ppcoa_x
SCP2x_1,Peroxisomal Thiolase 2,,0.0,13.430824037423532,13.430824037423532,3.0 co2_x + 8.0 coa_x + 7.0 dhcholoylcoa_x + 2.0 h2o_x --> 7.0 dgcholcoa_x + 8.0 ppcoa_x
H2O2tp,"Hydrogen peroxide transport via diffusion, glyoxysome",,-13.311111606701932,3.178634489636585e-16,13.311111606701932,h2o2_c <=> h2o2_x
